Transaction Id,Customer Id,Date,value,category 
100000058,100139,3/4/2020,1270,household appliances
100000059,100186,3/5/2020,4300,food
100000060,100125,3/5/2020,3813,apparel
100000061,100065,3/5/2020,2085,furniture
100000062,100143,3/7/2020,3830,household appliances
100000063,100089,3/9/2020,1479,computer equipment
100000064,100047,3/11/2020,979,apparel
100000065,100016,3/11/2020,3622,household appliances
100000066,100097,3/11/2020,3750,computer equipment
100000067,100153,3/13/2020,3225,computer equipment
100000068,100015,3/14/2020,1990,food
100000069,100097,3/16/2020,2137,alcohol and beverage
100000070,100071,3/18/2020,3341,alcohol and beverage
100000071,100101,3/18/2020,2771,apparel
100000072,100122,3/19/2020,5192,computer equipment
100000073,100116,3/20/2020,1493,furniture
100000074,100009,3/22/2020,1783,furniture
100000075,100150,3/22/2020,3500,computer equipment
100000076,100040,3/26/2020,3856,household appliances
100000077,100169,3/27/2020,1879,apparel
100000078,100053,3/28/2020,601,household appliances
100000079,100154,3/28/2020,3408,food
100000080,100198,3/29/2020,2061,alcohol and beverage
100000081,100081,3/29/2020,2542,household appliances
100000082,100107,3/29/2020,3818,household appliances
100000083,100030,3/29/2020,1343,household appliances
100000084,100127,4/1/2020,2476,alcohol and beverage
100000085,100195,4/2/2020,2304,apparel
100000086,100026,4/2/2020,2419,household appliances
100000087,100196,4/3/2020,4224,food
100000088,100020,4/4/2020,2932,furniture
100000089,100141,4/4/2020,3173,alcohol and beverage
100000090,100011,4/6/2020,1507,apparel
100000091,100148,4/6/2020,3350,apparel
100000092,100114,4/7/2020,2459,household appliances
100000093,100133,4/8/2020,2573,apparel
100000094,100195,4/10/2020,4023,computer equipment
100000095,100001,4/11/2020,2274,household appliances
100000096,100005,4/12/2020,3404,household appliances
100000097,100115,4/15/2020,2536,furniture
100000098,100183,4/15/2020,5310,alcohol and beverage
100000099,100080,4/15/2020,483,alcohol and beverage
100000100,100032,4/16/2020,4307,apparel
100000101,100094,4/16/2020,4989,apparel
100000102,100048,4/17/2020,2368,computer equipment
100000103,100119,4/18/2020,5256,alcohol and beverage
100000104,100038,4/20/2020,536,alcohol and beverage
100000105,100173,4/21/2020,5100,food
100000106,100022,4/21/2020,1820,alcohol and beverage
100000107,100004,4/23/2020,5224,food
100000108,100018,4/25/2020,2914,food
100000109,100085,4/26/2020,3172,furniture
100000110,100015,5/2/2020,1314,computer equipment
100000111,100124,5/2/2020,840,computer equipment
100000112,100155,5/3/2020,4461,alcohol and beverage
100000113,100145,5/3/2020,2608,food
100000114,100073,5/4/2020,2565,apparel
100000115,100119,5/4/2020,2935,apparel
100000116,100019,5/6/2020,3167,furniture
100000117,100190,5/6/2020,2807,apparel
100000118,100179,5/7/2020,1910,apparel
100000119,100076,5/7/2020,3869,household appliances
100000120,100189,5/8/2020,2235,household appliances
100000121,100124,5/9/2020,4763,food
100000122,100076,5/10/2020,3676,household appliances
100000123,100103,5/10/2020,3633,computer equipment
100000124,100075,5/11/2020,4226,alcohol and beverage
100000125,100051,5/14/2020,3144,computer equipment
100000126,100156,5/14/2020,2533,household appliances
100000127,100195,5/18/2020,4745,alcohol and beverage
100000128,100082,5/19/2020,3036,household appliances
100000129,100125,5/20/2020,3324,household appliances
100000130,100001,5/20/2020,1494,food
100000131,100094,5/24/2020,2167,apparel
100000132,100124,5/26/2020,1191,apparel
100000133,100006,5/26/2020,3525,computer equipment
100000134,100031,5/27/2020,3412,household appliances
100000135,100122,5/28/2020,3268,alcohol and beverage
100000136,100129,5/30/2020,1586,computer equipment
100000137,100149,5/30/2020,1418,computer equipment
100000138,100169,5/30/2020,3462,household appliances
100000139,100126,5/31/2020,3288,household appliances
100000140,100098,6/1/2020,5132,furniture
100000141,100084,6/2/2020,932,computer equipment
100000142,100064,6/4/2020,1138,alcohol and beverage
100000143,100128,6/4/2020,1997,food
100000144,100146,6/5/2020,4584,household appliances
100000145,100044,6/6/2020,2303,furniture
100000146,100020,6/6/2020,5195,alcohol and beverage
100000147,100128,6/9/2020,1761,household appliances
100000148,100072,6/10/2020,880,furniture
100000149,100072,6/11/2020,2916,apparel
100000150,100200,6/12/2020,2406,computer equipment
100000151,100016,6/12/2020,3284,household appliances
100000152,100101,6/13/2020,3976,apparel
100000153,100065,6/15/2020,4614,apparel
100000154,100072,6/16/2020,3324,food
100000155,100120,6/17/2020,6316,apparel
100000156,100066,6/19/2020,1760,computer equipment
100000157,100198,6/24/2020,3734,household appliances
100000158,100195,6/24/2020,2427,furniture
100000159,100081,6/25/2020,2470,household appliances
100000160,100106,6/26/2020,3380,furniture
100000161,100172,6/27/2020,2951,apparel
100000162,100036,6/28/2020,2244,apparel
100000163,100100,6/30/2020,2473,alcohol and beverage
100000164,100158,7/3/2020,4147,furniture
100000165,100100,7/4/2020,3542,household appliances
100000166,100193,7/5/2020,1615,computer equipment
100000167,100040,7/8/2020,1180,household appliances
100000168,100094,7/12/2020,1863,apparel
100000169,100123,7/12/2020,4099,household appliances
100000170,100086,7/16/2020,4998,furniture
100000171,100028,7/19/2020,1190,computer equipment
100000172,100085,7/19/2020,5245,alcohol and beverage
100000173,100028,7/19/2020,2060,food
100000174,100068,7/21/2020,368,apparel
100000175,100112,7/21/2020,3655,apparel
100000176,100108,7/22/2020,2637,household appliances
100000177,100048,7/22/2020,4461,furniture
100000178,100195,7/25/2020,3500,alcohol and beverage
100000179,100123,7/25/2020,4064,household appliances
100000180,100057,7/27/2020,1567,furniture
100000181,100092,7/27/2020,3071,computer equipment
100000182,100173,7/28/2020,4314,alcohol and beverage
100000183,100018,7/31/2020,4911,furniture
100000184,100175,7/31/2020,1867,furniture
100000185,100159,8/1/2020,4278,furniture
100000186,100089,8/2/2020,1199,computer equipment
100000187,100144,8/2/2020,779,apparel
100000188,100033,8/3/2020,1980,alcohol and beverage
100000189,100136,8/3/2020,573,furniture
100000190,100126,8/4/2020,2758,furniture
100000191,100073,8/5/2020,1220,furniture
100000192,100130,8/6/2020,959,household appliances
100000193,100170,8/8/2020,1891,alcohol and beverage
100000194,100085,8/9/2020,3264,furniture
100000195,100072,8/9/2020,1132,alcohol and beverage
100000196,100197,8/9/2020,5014,alcohol and beverage
100000197,100096,8/12/2020,2757,apparel
100000198,100114,8/17/2020,685,food
100000199,100148,8/17/2020,2140,household appliances
100000200,100114,8/19/2020,3209,computer equipment
100000201,100081,8/23/2020,5177,computer equipment
100000202,100034,8/23/2020,3239,computer equipment
100000203,100056,8/23/2020,2431,household appliances
100000204,100043,8/25/2020,1963,alcohol and beverage
100000205,100103,8/25/2020,3568,computer equipment
100000206,100029,8/27/2020,350,alcohol and beverage
100000207,100060,8/27/2020,728,food
100000208,100144,8/28/2020,1797,computer equipment
100000209,100019,8/30/2020,3331,computer equipment
100000210,100015,8/31/2020,560,computer equipment
100000211,100131,9/2/2020,3319,alcohol and beverage
100000212,100154,9/3/2020,4846,computer equipment
100000213,100132,9/5/2020,1003,alcohol and beverage
100000214,100059,9/5/2020,5722,household appliances
100000215,100176,9/5/2020,2252,food
100000216,100030,9/10/2020,2699,household appliances
100000217,100130,9/10/2020,2996,apparel
100000218,100143,9/11/2020,3834,apparel
100000219,100182,9/11/2020,842,alcohol and beverage
100000220,100073,9/13/2020,3784,food
100000221,100124,9/14/2020,2974,computer equipment
100000222,100080,9/14/2020,2601,furniture
100000223,100049,9/15/2020,1882,food
100000224,100180,9/16/2020,2013,food
100000225,100003,9/18/2020,3128,household appliances
100000226,100123,9/18/2020,1207,food
100000227,100097,9/18/2020,1041,household appliances
100000228,100166,9/19/2020,1621,furniture
100000229,100186,9/19/2020,2945,food
100000230,100029,9/20/2020,669,household appliances
100000231,100185,9/20/2020,4742,computer equipment
100000232,100052,9/20/2020,463,food
100000233,100064,9/22/2020,4657,alcohol and beverage
100000234,100016,9/24/2020,3926,alcohol and beverage
100000235,100039,9/24/2020,2824,apparel
100000236,100165,9/24/2020,2848,furniture
100000237,100028,9/25/2020,2693,food
100000238,100096,9/25/2020,1878,computer equipment
100000239,100074,9/25/2020,3101,computer equipment
100000240,100068,9/25/2020,6656,household appliances
100000241,100038,9/28/2020,5273,food
100000242,100133,9/28/2020,4795,food
100000243,100017,9/29/2020,942,alcohol and beverage
100000244,100091,9/30/2020,2525,food
100000245,100029,10/2/2020,5345,household appliances
100000246,100031,10/2/2020,4711,food
100000247,100139,10/2/2020,5798,alcohol and beverage
100000248,100154,10/3/2020,2407,alcohol and beverage
100000249,100186,10/4/2020,792,computer equipment
100000250,100009,10/6/2020,1739,apparel
100000251,100106,10/7/2020,3228,furniture
100000252,100101,10/9/2020,2752,food
100000253,100073,10/9/2020,2596,food
100000254,100056,10/10/2020,4267,alcohol and beverage
100000255,100145,10/14/2020,1148,furniture
100000256,100136,10/16/2020,2429,household appliances
100000257,100010,10/19/2020,2697,alcohol and beverage
100000258,100148,10/19/2020,2815,apparel
100000259,100089,10/20/2020,2707,household appliances
100000260,100181,10/23/2020,1416,computer equipment
100000261,100070,10/25/2020,3576,alcohol and beverage
100000262,100034,10/25/2020,5017,food
100000263,100141,10/25/2020,3845,furniture
100000264,100148,10/26/2020,3577,household appliances
100000265,100049,10/28/2020,4025,food
100000266,100169,10/28/2020,51,apparel
100000267,100084,10/29/2020,1868,computer equipment
100000268,100166,10/30/2020,2296,food
100000269,100011,10/31/2020,1525,household appliances
100000270,100026,10/31/2020,3392,food
100000271,100085,11/1/2020,6480,furniture
100000272,100106,11/1/2020,2945,household appliances
100000273,100084,11/2/2020,3127,alcohol and beverage
100000274,100188,11/2/2020,2636,apparel
100000275,100126,11/2/2020,4089,computer equipment
100000276,100014,11/3/2020,6745,furniture
100000277,100040,11/3/2020,5970,furniture
100000278,100172,11/4/2020,1129,household appliances
100000279,100144,11/5/2020,3274,apparel
100000280,100071,11/8/2020,3629,alcohol and beverage
100000281,100075,11/11/2020,1903,apparel
100000282,100061,11/12/2020,1918,household appliances
100000283,100132,11/12/2020,4227,household appliances
100000284,100019,11/13/2020,839,household appliances
100000285,100097,11/13/2020,2858,household appliances
100000286,100089,11/14/2020,1268,alcohol and beverage
100000287,100029,11/14/2020,4368,alcohol and beverage
100000288,100086,11/15/2020,2266,food
100000289,100073,11/16/2020,3371,furniture
100000290,100011,11/16/2020,2028,computer equipment
100000291,100058,11/19/2020,2258,household appliances
100000292,100067,11/20/2020,4870,apparel
100000293,100015,11/20/2020,2749,alcohol and beverage
100000294,100079,11/21/2020,3522,food
100000295,100081,11/21/2020,2648,furniture
100000296,100099,11/22/2020,746,household appliances
100000297,100150,11/24/2020,3481,alcohol and beverage
100000298,100059,11/27/2020,1693,alcohol and beverage
100000299,100099,11/27/2020,4711,alcohol and beverage
100000300,100051,11/29/2020,3180,apparel
100000301,100190,11/30/2020,3801,alcohol and beverage
100000302,100106,12/2/2020,1640,computer equipment
100000303,100198,12/4/2020,1507,alcohol and beverage
100000304,100190,12/5/2020,4300,furniture
100000305,100024,12/6/2020,5156,apparel
100000306,100165,12/7/2020,1015,food
100000307,100005,12/7/2020,1810,food
100000308,100069,12/8/2020,5929,alcohol and beverage
100000309,100151,12/8/2020,2788,furniture
100000310,100106,12/9/2020,2049,household appliances
100000311,100128,12/9/2020,2267,household appliances
100000312,100130,12/10/2020,4032,apparel
100000313,100064,12/11/2020,3497,furniture
100000314,100198,12/11/2020,815,household appliances
100000315,100044,12/12/2020,4722,food
100000316,100118,12/13/2020,930,computer equipment
100000317,100063,12/14/2020,4611,apparel
100000318,100162,12/17/2020,861,food
100000319,100052,12/18/2020,1131,alcohol and beverage
100000320,100073,12/18/2020,1306,computer equipment
100000321,100135,12/18/2020,606,apparel
100000322,100017,12/18/2020,3867,computer equipment
100000323,100158,12/19/2020,6903,computer equipment
100000324,100112,12/20/2020,2935,computer equipment
100000325,100129,12/20/2020,3226,furniture
100000326,100090,12/21/2020,2172,household appliances
100000327,100054,12/24/2020,3413,household appliances
100000328,100097,12/26/2020,5143,furniture
100000329,100004,12/27/2020,4088,computer equipment
100000330,100132,12/28/2020,76,apparel
100000331,100057,12/29/2020,1642,food
100000332,100080,12/29/2020,5450,food
100000333,100063,12/30/2020,2643,alcohol and beverage
100000334,100044,12/31/2020,1963,alcohol and beverage
100000335,100011,1/1/2021,2720,alcohol and beverage
100000336,100094,1/1/2021,3493,computer equipment
100000337,100058,1/1/2021,3002,alcohol and beverage
100000338,100003,1/2/2021,1432,food
100000339,100160,1/5/2021,4540,household appliances
100000340,100139,1/6/2021,2868,household appliances
100000341,100028,1/6/2021,3004,household appliances
100000342,100047,1/7/2021,5039,alcohol and beverage
100000343,100189,1/9/2021,4227,apparel
100000344,100011,1/11/2021,3668,household appliances
100000345,100179,1/13/2021,1484,computer equipment
100000346,100076,1/13/2021,4246,alcohol and beverage
100000347,100020,1/14/2021,2684,household appliances
100000348,100170,1/14/2021,644,food
100000349,100042,1/15/2021,4749,computer equipment
100000350,100164,1/15/2021,5077,computer equipment
100000351,100126,1/15/2021,3763,apparel
100000352,100063,1/16/2021,2022,apparel
100000353,100099,1/18/2021,3614,alcohol and beverage
100000354,100081,1/18/2021,4497,household appliances
100000355,100141,1/21/2021,3104,food
100000356,100025,1/21/2021,2969,household appliances
100000357,100102,1/21/2021,2653,apparel
100000358,100149,1/23/2021,1565,food
100000359,100086,1/23/2021,2829,furniture
100000360,100192,1/25/2021,1024,apparel
100000361,100058,1/27/2021,2819,household appliances
100000362,100107,1/28/2021,4658,household appliances
100000363,100001,2/1/2021,3539,household appliances
100000364,100172,2/1/2021,905,alcohol and beverage
100000365,100178,2/3/2021,37,household appliances
100000366,100061,2/5/2021,1209,computer equipment
100000367,100067,2/5/2021,3702,household appliances
100000368,100198,2/6/2021,4170,computer equipment
100000369,100144,2/7/2021,4095,furniture
100000370,100091,2/8/2021,3749,computer equipment
100000371,100008,2/13/2021,1455,computer equipment
100000372,100017,2/13/2021,4200,furniture
100000373,100153,2/16/2021,1406,household appliances
100000374,100176,2/17/2021,2238,apparel
100000375,100198,2/17/2021,2893,household appliances
100000376,100149,2/18/2021,4681,furniture
100000377,100105,2/18/2021,1967,food
100000378,100099,2/18/2021,782,alcohol and beverage
100000379,100124,2/18/2021,554,food
100000380,100170,2/19/2021,3589,computer equipment
100000381,100123,2/19/2021,5287,apparel
100000382,100175,2/20/2021,1827,apparel
100000383,100038,2/21/2021,1707,household appliances
100000384,100057,2/22/2021,3977,apparel
100000385,100155,2/23/2021,4295,apparel
100000386,100077,2/23/2021,3195,apparel
100000387,100116,2/24/2021,1631,alcohol and beverage
100000388,100117,2/25/2021,2552,household appliances
100000389,100016,2/26/2021,2237,alcohol and beverage
100000390,100026,2/26/2021,3203,household appliances
100000391,100183,3/1/2021,2104,apparel
100000392,100099,3/1/2021,2920,computer equipment
100000393,100032,3/2/2021,2878,food
100000394,100023,3/3/2021,2187,household appliances
100000395,100081,3/4/2021,1443,computer equipment
100000396,100162,3/5/2021,1837,alcohol and beverage
100000397,100120,3/6/2021,4223,computer equipment
100000398,100096,3/7/2021,511,household appliances
100000399,100155,3/8/2021,2260,computer equipment
100000400,100094,3/8/2021,1303,household appliances
100000401,100199,3/8/2021,4476,household appliances
100000402,100190,3/8/2021,701,alcohol and beverage
100000403,100107,3/9/2021,2717,household appliances
100000404,100152,3/10/2021,5351,alcohol and beverage
100000405,100112,3/11/2021,3658,household appliances
100000406,100007,3/11/2021,4211,computer equipment
100000407,100193,3/12/2021,4339,household appliances
100000408,100091,3/12/2021,5620,alcohol and beverage
100000409,100058,3/13/2021,788,household appliances
100000410,100135,3/15/2021,1849,alcohol and beverage
100000411,100047,3/17/2021,4185,computer equipment
100000412,100113,3/18/2021,4428,food
100000413,100092,3/19/2021,3268,household appliances
100000414,100000,3/20/2021,5016,household appliances
100000415,100093,3/21/2021,712,furniture
100000416,100028,3/22/2021,5071,furniture
100000417,100114,3/23/2021,3331,food
100000418,100117,3/25/2021,2993,alcohol and beverage
100000419,100081,3/26/2021,2506,computer equipment
100000420,100163,3/28/2021,6066,furniture
100000421,100179,3/28/2021,4540,household appliances
100000422,100192,3/28/2021,1837,computer equipment
100000423,100098,3/28/2021,2273,computer equipment
100000424,100142,4/1/2021,1569,household appliances
100000425,100143,4/2/2021,2627,alcohol and beverage
100000426,100111,4/2/2021,4831,apparel
100000427,100044,4/2/2021,4552,apparel
100000428,100027,4/2/2021,4992,furniture
100000429,100120,4/3/2021,3522,food
100000430,100037,4/5/2021,4915,computer equipment
100000431,100160,4/8/2021,5348,furniture
100000432,100017,4/9/2021,4459,furniture
100000433,100155,4/10/2021,2867,food
100000434,100138,4/11/2021,2687,alcohol and beverage
100000435,100168,4/12/2021,1834,computer equipment
100000436,100027,4/12/2021,1361,alcohol and beverage
100000437,100088,4/13/2021,410,apparel
100000438,100026,4/13/2021,4874,food
100000439,100063,4/13/2021,4699,apparel
100000440,100185,4/14/2021,2702,household appliances
100000441,100084,4/15/2021,4788,computer equipment
100000442,100116,4/15/2021,4071,computer equipment
100000443,100183,4/16/2021,2663,alcohol and beverage
100000444,100045,4/17/2021,1441,household appliances
100000445,100025,4/17/2021,1886,computer equipment
100000446,100077,4/17/2021,2263,apparel
100000447,100137,4/19/2021,5876,household appliances
100000448,100018,4/19/2021,1426,food
100000449,100167,4/19/2021,4954,computer equipment
100000450,100050,4/19/2021,3012,alcohol and beverage
100000451,100026,4/20/2021,4104,computer equipment
100000452,100154,4/23/2021,2901,alcohol and beverage
100000453,100003,4/24/2021,1032,food
100000454,100040,4/24/2021,3041,computer equipment
100000455,100168,4/24/2021,2384,apparel
100000456,100157,4/27/2021,1728,apparel
100000457,100081,4/28/2021,2208,food
100000458,100113,4/28/2021,3345,food
100000459,100170,5/1/2021,2491,food
100000460,100003,5/1/2021,9051,apparel
100000461,100183,5/2/2021,951,alcohol and beverage
100000462,100103,5/3/2021,186,apparel
100000463,100061,5/6/2021,2859,computer equipment
100000464,100055,5/7/2021,3825,alcohol and beverage
100000465,100068,5/9/2021,3440,computer equipment
100000466,100016,5/10/2021,4469,household appliances
100000467,100200,5/13/2021,3042,alcohol and beverage
100000468,100162,5/15/2021,2884,food
100000469,100191,5/18/2021,1932,alcohol and beverage
100000470,100054,5/18/2021,3506,furniture
100000471,100198,5/20/2021,2516,apparel
100000472,100159,5/20/2021,1018,food
100000473,100000,5/21/2021,2649,computer equipment
100000474,100175,5/21/2021,4080,household appliances
100000475,100194,5/23/2021,2988,apparel
100000476,100067,5/23/2021,3871,computer equipment
100000477,100161,5/25/2021,364,apparel
100000478,100065,5/25/2021,5047,food
100000479,100146,5/25/2021,1851,household appliances
100000480,100013,5/26/2021,4647,computer equipment
100000481,100169,5/27/2021,1193,household appliances
100000482,100084,5/27/2021,3338,alcohol and beverage
100000483,100164,5/28/2021,2679,computer equipment
100000484,100153,5/29/2021,2237,food
100000485,100173,6/1/2021,1156,furniture
100000486,100110,6/2/2021,5421,household appliances
100000487,100187,6/4/2021,3010,alcohol and beverage
100000488,100061,6/4/2021,1685,furniture
100000489,100072,6/5/2021,472,furniture
100000490,100176,6/5/2021,3777,apparel
100000491,100132,6/6/2021,4150,apparel
100000492,100126,6/6/2021,2636,furniture
100000493,100003,6/7/2021,5120,food
100000494,100103,6/8/2021,3957,furniture
100000495,100145,6/11/2021,3666,computer equipment
100000496,100197,6/12/2021,5181,computer equipment
100000497,100126,6/13/2021,3977,apparel
100000498,100160,6/13/2021,2803,computer equipment
100000499,100167,6/17/2021,3544,computer equipment
100000500,100140,6/18/2021,4143,apparel
100000501,100161,6/19/2021,2006,furniture
100000502,100140,6/21/2021,1993,computer equipment
100000503,100018,6/21/2021,2688,apparel
100000504,100081,6/22/2021,3586,furniture
100000505,100005,6/23/2021,2774,household appliances
100000506,100160,6/23/2021,3322,apparel
100000507,100035,6/24/2021,5779,computer equipment
100000508,100147,6/24/2021,936,furniture
100000509,100060,6/25/2021,4989,alcohol and beverage
100000510,100099,6/25/2021,2407,furniture
100000511,100135,6/26/2021,1017,alcohol and beverage
100000512,100163,6/28/2021,1534,household appliances
100000513,100199,7/1/2021,3593,alcohol and beverage
100000514,100029,7/2/2021,2737,apparel
100000515,100142,7/3/2021,535,furniture
100000516,100052,7/3/2021,395,food
100000517,100036,7/4/2021,3501,alcohol and beverage
100000518,100053,7/5/2021,2298,food
100000519,100118,7/5/2021,4353,computer equipment
100000520,100183,7/6/2021,2704,computer equipment
100000521,100147,7/6/2021,1239,furniture
100000522,100066,7/7/2021,1153,furniture
100000523,100122,7/8/2021,4435,apparel
100000524,100037,7/10/2021,1595,alcohol and beverage
100000525,100146,7/18/2021,2705,alcohol and beverage
100000526,100118,7/18/2021,3310,alcohol and beverage
100000527,100117,7/23/2021,4162,furniture
100000528,100095,7/24/2021,4390,computer equipment
100000529,100079,7/26/2021,3021,apparel
100000530,100006,7/28/2021,3305,household appliances
100000531,100158,8/1/2021,906,food
100000532,100024,8/1/2021,907,food
100000533,100104,8/2/2021,1038,household appliances
100000534,100165,8/3/2021,3594,apparel
100000535,100043,8/3/2021,37,computer equipment
100000536,100046,8/4/2021,4448,food
100000537,100054,8/4/2021,3840,furniture
100000538,100185,8/5/2021,258,household appliances
100000539,100045,8/7/2021,3284,alcohol and beverage
100000540,100139,8/7/2021,1913,household appliances
100000541,100092,8/9/2021,4516,apparel
100000542,100048,8/10/2021,4181,household appliances
100000543,100106,8/11/2021,4165,furniture
100000544,100015,8/12/2021,6338,alcohol and beverage
100000545,100099,8/13/2021,2930,food
100000546,100183,8/14/2021,2131,computer equipment
100000547,100128,8/15/2021,1010,computer equipment
100000548,100004,8/15/2021,4322,household appliances
100000549,100069,8/17/2021,3696,apparel
100000550,100044,8/18/2021,3650,computer equipment
100000551,100199,8/21/2021,1394,computer equipment
100000552,100150,8/24/2021,971,food
100000553,100090,8/24/2021,2163,furniture
100000554,100115,8/25/2021,3474,household appliances
100000555,100114,8/25/2021,3372,computer equipment
100000556,100001,8/27/2021,4015,alcohol and beverage
100000557,100109,8/27/2021,5242,household appliances
100000558,100020,8/28/2021,679,furniture
100000559,100117,8/29/2021,2429,food
100000560,100179,8/31/2021,2502,apparel
100000561,100118,9/1/2021,472,computer equipment
100000562,100073,9/4/2021,267,apparel
100000563,100059,9/5/2021,3976,household appliances
100000564,100034,9/5/2021,1974,computer equipment
100000565,100094,9/9/2021,2054,apparel
100000566,100030,9/9/2021,876,household appliances
100000567,100097,9/11/2021,741,furniture
100000568,100046,9/14/2021,5344,apparel
100000569,100163,9/19/2021,906,furniture
100000570,100155,9/20/2021,1281,alcohol and beverage
100000571,100142,9/21/2021,1806,apparel
100000572,100166,9/21/2021,4047,computer equipment
100000573,100156,9/21/2021,3716,computer equipment
100000574,100158,9/22/2021,2683,computer equipment
100000575,100157,9/22/2021,2906,apparel
100000576,100063,9/23/2021,105,computer equipment
100000577,100166,9/24/2021,3297,computer equipment
100000578,100149,9/24/2021,153,computer equipment
100000579,100165,9/27/2021,3129,food
100000580,100000,9/27/2021,183,alcohol and beverage
100000581,100118,9/27/2021,2851,apparel
100000582,100084,9/28/2021,5424,furniture
100000583,100132,9/28/2021,2435,household appliances
100000584,100178,9/29/2021,1566,apparel
100000585,100060,10/1/2021,2529,computer equipment
100000586,100043,10/1/2021,5029,household appliances
100000587,100048,10/2/2021,2829,food
100000588,100200,10/3/2021,3119,furniture
100000589,100000,10/5/2021,2360,household appliances
100000590,100040,10/8/2021,1258,computer equipment
100000591,100193,10/9/2021,3680,apparel
100000592,100080,10/14/2021,4673,furniture
100000593,100002,10/16/2021,3017,household appliances
100000594,100108,10/19/2021,3491,food
100000595,100197,10/20/2021,1668,alcohol and beverage
100000596,100084,10/20/2021,3942,apparel
100000597,100006,10/21/2021,597,alcohol and beverage
100000598,100047,10/23/2021,1184,household appliances
100000599,100046,10/24/2021,1343,household appliances
100000600,100056,10/24/2021,2512,household appliances
100000601,100101,10/28/2021,2404,apparel
100000602,100046,10/30/2021,2221,furniture
100000603,100074,11/1/2021,6233,food
100000604,100135,11/1/2021,2378,household appliances
100000605,100187,11/3/2021,412,apparel
100000606,100191,11/5/2021,495,alcohol and beverage
100000607,100043,11/6/2021,4783,apparel
100000608,100024,11/7/2021,1460,furniture
100000609,100083,11/9/2021,2305,furniture
100000610,100147,11/11/2021,2336,computer equipment
100000611,100073,11/11/2021,2870,apparel
100000612,100144,11/11/2021,3312,alcohol and beverage
100000613,100145,11/12/2021,752,computer equipment
100000614,100033,11/13/2021,1916,computer equipment
100000615,100056,11/15/2021,2377,alcohol and beverage
100000616,100031,11/16/2021,5157,computer equipment
100000617,100083,11/18/2021,4110,food
100000618,100145,11/18/2021,158,apparel
100000619,100068,11/19/2021,2044,alcohol and beverage
100000620,100005,11/23/2021,3282,food
100000621,100045,11/24/2021,731,furniture
100000622,100026,11/24/2021,1129,computer equipment
100000623,100151,11/24/2021,3766,apparel
100000624,100153,11/25/2021,2093,food
100000625,100185,11/26/2021,2282,household appliances
100000626,100163,11/27/2021,3608,computer equipment
100000627,100004,11/28/2021,5231,computer equipment
100000628,100071,11/29/2021,146,household appliances
100000629,100126,11/30/2021,1524,alcohol and beverage
100000630,100018,11/30/2021,3931,apparel
100000631,100188,12/1/2021,4754,apparel
